seq_id,mode,t,reward,value,lambda_return,reward_component,value_component,steer,gas,brake
0,actor,0,-0.10230040550231934,29.86382293701172,24.078527450561523,-1.0153403282165527,25.093868255615234,-0.040056612342596054,0.9999917149543762,0.0
0,actor,1,-0.0999598503112793,29.96561622619629,24.133472442626953,-0.9708027243614197,25.10427474975586,0.4852810502052307,0.9999881982803345,0.0
0,actor,2,-0.10183143615722656,26.398143768310547,24.377164840698242,-0.9259361028671265,25.303102493286133,0.43027952313423157,0.9999910593032837,0.0
0,actor,3,-0.10358583927154541,24.58761978149414,24.733556747436523,-0.8762409687042236,25.609798431396484,0.6889185905456543,0.9999932050704956,0.0
0,actor,4,-0.10542154312133789,23.42742156982422,25.17542266845703,-0.8215365409851074,25.996959686279297,0.6686510443687439,0.9999954700469971,0.0
0,actor,5,-0.10600125789642334,22.855365753173828,25.67730140686035,-0.7614194750785828,26.438722610473633,0.7330752611160278,0.9999967813491821,0.0
0,actor,6,-0.10557544231414795,22.61958885192871,26.22395896911621,-0.6968827843666077,26.92084312438965,0.7430922985076904,0.999997615814209,0.0
0,actor,7,-0.10367882251739502,22.676485061645508,26.801753997802734,-0.6287159323692322,27.430471420288086,0.7482949495315552,0.9999982118606567,0.0
0,actor,8,-0.10057556629180908,23.003433227539062,27.396879196166992,-0.5582531690597534,27.95513153076172,0.7292366623878479,0.9999986290931702,0.0
0,actor,9,-0.09705781936645508,23.618526458740234,27.993982315063477,-0.48663225769996643,28.480609893798828,0.6778181791305542,0.999998927116394,0.0
0,actor,10,-0.09435677528381348,24.4781494140625,28.579872131347656,-0.41422057151794434,28.994091033935547,0.5991632342338562,0.9999990463256836,0.0
0,actor,11,-0.09268331527709961,25.565933227539062,29.1427059173584,-0.3400997519493103,29.482803344726562,0.47958850860595703,0.9999991655349731,0.0
0,actor,12,-0.09213006496429443,26.815582275390625,29.673599243164062,-0.2630690336227417,29.936664581298828,0.3443804681301117,0.9999992847442627,0.0
0,actor,13,-0.09280478954315186,28.19159507751465,30.16506576538086,-0.18175330758094788,30.346817016601562,0.18473103642463684,0.9999992847442627,0.0
0,actor,14,-0.09457576274871826,29.606670379638672,30.61386489868164,-0.09457576274871826,30.70844078063965,0.03706776723265648,0.9999992847442627,0.0
1,actor,0,-0.11883223056793213,47.385738372802734,46.67066955566406,-1.049975037574768,47.720645904541016,-1.0,0.9999991059303284,0.0
