mode,reward_component_t0,value_component_t0,lambda_t0,reward_sum_discounted
actor,1.2453702185975999,53.37655428657308,54.62192428763956,1.8604352507172734
true_heuristic_actions,1.089296966099937,47.2787888715975,48.3680853061378,1.599218787445352
