seq_id,mode,source_file,source_t,reward_sum_discounted,reward_sum_undiscounted,reward_mean,lambda_t0,lambda_mean,reward_component_t0,value_component_t0,value_t0,terminal_value,value_mean,steer_mean,gas_mean,brake_mean
0,actor,data/latent/train/1781995936765_heuristic_00038.npz,627,-1.3947314023971558,-1.4925386905670166,-0.0995025783777237,24.078527450561523,26.984474182128906,-1.0153403282165527,25.093868255615234,29.86382293701172,31.018627166748047,25.91828727722168,0.5006347894668579,0.9999963641166687,0.0
1,actor,data/latent/train/1781995688182_heuristic_00011.npz,266,-1.4140759706497192,-1.5072875022888184,-0.10048583149909973,46.67066955566406,50.223201751708984,-1.049975037574768,47.720645904541016,47.385738372802734,54.61100387573242,52.03181838989258,-0.9995070695877075,0.9993942975997925,3.130833283648826e-05
2,actor,data/latent/train/1781975767951_heuristic_00024.npz,41,10.238411903381348,11.042862892150879,0.7361908555030823,79.8536605834961,81.43212127685547,7.163182735443115,72.69048309326172,77.09476470947266,81.94925689697266,80.1522216796875,0.42154982686042786,0.9999992847442627,0.0
3,actor,data/latent/train/1781975592337_heuristic_00005.npz,17,0.3969392478466034,0.46319615840911865,0.03087974339723587,62.72145462036133,67.90029907226562,0.17471329867839813,62.54672622680664,63.3486328125,73.67081451416016,66.88851165771484,0.23673099279403687,0.9999644756317139,5.9604645663569045e-09
4,actor,data/latent/train/1781975666230_heuristic_00013.npz,801,12.986197471618652,13.952903747558594,0.9301936030387878,92.39410400390625,93.1812973022461,9.237829208374023,83.15626525878906,87.14765167236328,92.93762969970703,92.18942260742188,-0.031038722023367882,0.9998205304145813,1.1742115475499304e-06
5,actor,data/latent/train/1781995790154_heuristic_00022.npz,899,1.211230754852295,1.3156235218048096,0.0877082347869873,59.603824615478516,62.539161682128906,0.8037437796592712,58.80007553100586,61.16621780395508,66.08726501464844,64.93768310546875,0.767957329750061,0.9993769526481628,8.245309004450974e-07
6,actor,data/latent/train/1781995678845_heuristic_00010.npz,597,5.610662937164307,6.174846649169922,0.4116564393043518,59.083587646484375,64.2050552368164,3.5220773220062256,55.56150436401367,47.910484313964844,66.87560272216797,58.29715347290039,0.999945342540741,0.9999992251396179,0.0
7,actor,data/latent/train/1781996019435_heuristic_00047.npz,718,-0.3678799271583557,-0.39872056245803833,-0.02658137120306492,45.13678741455078,50.22875213623047,-0.2460457980632782,45.38282775878906,40.20866775512695,55.79255294799805,46.96521759033203,0.5653915405273438,0.9999972581863403,0.0
8,actor,data/latent/train/1781995772209_heuristic_00020.npz,535,8.533483505249023,9.212251663208008,0.6141501069068909,81.44779205322266,84.97872924804688,5.911589622497559,75.53620147705078,74.02662658691406,86.83936309814453,82.35455322265625,0.4886130392551422,0.9995119571685791,1.1265277635175153e-06
9,actor,data/latent/train/1781995725381_heuristic_00015.npz,921,-0.45986121892929077,-0.46772754192352295,-0.031181836500763893,55.04442596435547,61.065311431884766,-0.42116957902908325,55.46560287475586,38.3581428527832,66.37505340576172,58.346981048583984,-0.002108112908899784,0.9976972937583923,0.00036029418697580695
10,actor,data/latent/train/1781975740977_heuristic_00021.npz,803,0.19044291973114014,0.24978923797607422,0.01665261574089527,47.07703399658203,50.850929260253906,-0.018467217683792114,47.09551239013672,50.84162521362305,54.52631759643555,51.31980895996094,0.9999988675117493,0.9999820590019226,0.0
11,actor,data/latent/train/1781995799509_heuristic_00023.npz,3,3.297499418258667,3.711958169937134,0.2474638819694519,56.662315368652344,61.49305725097656,1.7747355699539185,54.887577056884766,42.100772857666016,63.624351501464844,58.97321701049805,-0.18913902342319489,0.9552509188652039,0.0007317046402022243
12,actor,data/latent/train/1781995605201_heuristic_00002.npz,844,-1.6504615545272827,-1.7684191465377808,-0.11789461225271225,12.73568344116211,15.631247520446777,-1.194616675376892,13.930298805236816,9.649697303771973,18.392282485961914,13.733501434326172,0.9995318055152893,0.9998846054077148,0.0
13,actor,data/latent/train/1781995715968_heuristic_00014.npz,34,7.93143367767334,8.53527545928955,0.5690183639526367,83.12660217285156,84.11264038085938,5.601494789123535,77.52510833740234,83.97838592529297,85.30155181884766,86.67504119873047,-0.08888216316699982,0.9999986290931702,0.0
14,actor,data/latent/train/1781995874538_heuristic_00031.npz,718,-0.9034484028816223,-0.937761664390564,-0.0625174418091774,47.721595764160156,49.496620178222656,-0.7489676475524902,48.47056198120117,54.28382873535156,52.53093338012695,54.64313507080078,-0.9986618161201477,0.9999984502792358,0.0
15,actor,data/latent/train/1781995927298_heuristic_00037.npz,173,-1.3719089031219482,-1.4722545146942139,-0.09815029799938202,36.19037628173828,38.48632049560547,-0.9850572347640991,37.175437927246094,46.64621353149414,41.9081916809082,41.354408264160156,0.3936978578567505,0.9999921917915344,0.0
16,actor,data/latent/train/1781975611090_heuristic_00007.npz,850,-0.7958828210830688,-0.8018811941146851,-0.053458746522665024,50.31339645385742,56.04933547973633,-0.7342132329940796,51.047607421875,42.8118782043457,61.06669998168945,54.08032989501953,-0.6761590838432312,0.9994775652885437,7.013479716988513e-06
17,actor,data/latent/train/1781975556701_heuristic_00001.npz,533,-0.6111108660697937,-0.6634130477905273,-0.044227536767721176,37.682830810546875,40.06367111206055,-0.4137831926345825,38.09661102294922,43.34841537475586,43.624149322509766,41.63911437988281,0.8544842004776001,0.9999706149101257,1.9868215961338365e-09
18,actor,data/latent/train/1781975601594_heuristic_00006.npz,295,-1.2023594379425049,-1.3061813116073608,-0.087078757584095,46.766117095947266,49.90890121459961,-0.8050076365470886,47.57111358642578,47.657588958740234,54.615779876708984,51.548370361328125,0.18611358106136322,0.9999838471412659,0.0
