,reward_sum_discounted,lambda_t0,reward_component_t0,value_component_t0,value_t0,terminal_value,value_mean,gas_mean,steer_abs_gt_09_frac,gas_gt_095_frac,brake_lt_005_frac
count,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0,256.0
mean,1.8624594725552015,53.75438451394439,1.2580826408448047,52.496302396059036,53.62705530412495,60.19895236566663,57.22813360951841,0.9989225103054196,0.6598958429531194,0.9960937502328306,1.0
std,5.409739545619561,20.833789947937564,3.826358635153573,17.863022770715773,20.25903729164063,20.042017062628936,19.92214145018282,0.004458497360094499,0.2849717128186227,0.021337046505333676,0.0
min,-1.6736260652542114,-11.366081237792969,-1.2079613208770752,-10.158302307128906,6.860254764556885,-17.446800231933594,-7.857570171356201,0.9455175399780272,0.0,0.800000011920929,1.0
25%,-1.4844000339508057,38.804654121398926,-1.0880216360092163,39.8809814453125,39.32814407348633,46.75040340423584,43.581787109375,0.9994571655988692,0.4666666686534881,1.0,1.0
50%,-1.1289334297180176,51.23456001281738,-0.8331187069416046,51.458913803100586,51.35260009765625,59.959991455078125,55.38401794433594,0.9998494684696198,0.7333333492279053,1.0,1.0
75%,3.1726383566856384,65.64668273925781,1.965080440044403,63.69311237335205,66.57608795166016,73.265625,69.69242858886719,0.9999692440032958,0.9333333373069764,1.0,1.0
max,29.745702743530277,104.41460418701172,20.77558135986328,92.67707061767578,105.67132568359376,106.26336669921876,103.72360229492188,0.9999995827674866,1.0,1.0,1.0
