step,reward_abs_error_true_vae_mean,reward_abs_error_true_vae_std,n
0,,,0
1,1.225884774327278,1.3359132251424828,20
2,1.0024839913472534,1.2839555461233614,20
3,1.446815792657435,1.5008790076178122,20
4,1.0911458343267442,1.300035843609961,20
5,0.7603069718927145,1.1041168696539023,20
6,0.9696293499320745,1.2908397718601619,20
7,1.0913447618484498,1.2935109404897656,20
8,0.8314149865880609,1.1132807891675245,20
9,1.4811299154534936,1.4979025479912995,20
10,1.1011515397578477,1.2612129455690628,20
11,0.9100094851106405,1.1888372891456271,20
12,1.1412817927077412,1.329714574062643,20
13,0.8401461005210876,1.0591062467319723,20
14,1.4861276546493172,1.3879758287463315,20
15,1.2415540562942624,1.376918402947421,20
16,0.7779474871233105,0.9972594342262249,20
17,1.2774515481665731,1.282523625848109,20
18,0.9143170598894358,1.1875722801492616,20
19,1.3499271187931299,1.363678731151274,20
20,1.283803643286228,1.290640991645125,20
21,0.7406131813302637,0.954727359255557,20
22,1.379445069655776,1.3249619793096938,20
23,1.2258489677682518,1.2826373255463197,20
24,1.0188028102740645,1.1956797787002553,20
25,1.016425154171884,1.1817184112417336,20
26,1.51072111222893,1.3556645560329792,20
27,1.211589422635734,1.2713232955186213,20
28,0.49137512017041446,0.6561171965346556,20
29,1.70922133307904,1.387215203816111,20
30,1.1749514926224947,1.3364694360206844,20
31,0.9631555646657943,1.18260672535327,20
32,1.4147873237729072,1.3381730214300163,20
33,0.8164865266531706,1.087399685549698,20
34,1.4053600769490004,1.4005451155881343,20
35,1.2961342645809055,1.30690038135085,20
36,0.8767635084688663,1.1567225172770481,20
37,1.5041268486529589,1.3623464567235013,20
38,1.1613671576604248,1.290779327644144,20
39,1.3513442564755678,1.365476603933014,20
40,0.8721456546336412,1.1485763372697306,20
41,0.8663188213482499,1.073812836189135,20
42,1.598053667321801,1.4190485010736886,20
43,0.9850903168320656,1.1769067724721827,20
44,1.1330493545159697,1.2739999607991035,20
45,1.3561892433091998,1.3388901095633203,20
46,1.279063480719924,1.3061199161577037,20
47,1.3578941974788905,1.2990275614774067,20
48,0.9769605556502938,1.1277913497830423,20
49,1.5643966855481266,1.4086772334747208,20
50,1.396332480199635,1.340491753591463,20
51,0.7301584092900157,0.9124677875586346,20
52,1.154871409200132,1.2354097933414796,20
53,1.5583859765902162,1.4024178072155955,20
54,1.0270246647298336,1.1934242293783257,20
55,1.0597649848088622,1.2136666582171205,20
56,0.8857101673260331,1.1288140408906269,20
57,1.2803762087598443,1.2555577193677439,20
58,1.604069127701223,1.3789238794564254,20
59,0.9142222721129656,1.1087755998897502,20
60,1.1952839592471718,1.1840131974277888,20
61,1.061159404553473,1.192777613048955,20
62,1.2349909469485283,1.2435172258400973,20
63,1.2994080785661937,1.2748099352444338,20
64,1.5079034401103855,1.37324539413884,20
65,1.2170972427353264,1.235664914432512,20
66,0.8595798118039966,0.9902365759257846,20
67,1.3735864996910094,1.5121859604017243,20
68,1.6484787302091717,1.3518100468660874,20
69,1.1037006782367826,1.1767765953105203,20
70,1.0564990868791937,1.1620916728328852,20
71,1.3282360786572098,1.247612481617677,20
72,1.1866244988515973,1.3146450023728922,20
73,1.027815812267363,1.1976848595759197,20
74,1.1364564409479498,1.1793300954898465,20
75,1.425776015035808,1.3711406563243158,20
76,0.9264107314869762,1.070548619581483,20
77,1.420255477540195,1.335649557436983,20
78,1.3520145731046795,1.3070234576080841,20
79,0.9286021059378982,1.106495897945293,20
80,1.3997174911201,1.2938338190914265,20
