step,mse_mean,mse_std,mae_mean,mae_std,psnr_mean,psnr_std
0,0.002448785869637504,0.0008142527308790252,0.021557057928293943,0.003002544048343468,26.299975880422288,1.2574002703400755
1,0.002526261884486303,0.0008125866083092116,0.021846612356603144,0.0030716558345069422,26.165686790479082,1.2847451430144021
2,0.002579996478743851,0.0008738498039181562,0.022089843451976777,0.0032217504870763387,26.09602258793425,1.357204713907223
3,0.002753421210218221,0.000996003132715153,0.02255422081798315,0.003501123695878435,25.837911159049202,1.4278535732617117
4,0.0029026009200606496,0.0011834700705413692,0.023031252529472114,0.0038887514327959967,25.65979300336516,1.5619207705096707
5,0.0030988768441602586,0.0013763299763464114,0.023643805738538505,0.004257242121721329,25.42248646123862,1.6819217054975966
6,0.0032900999940466136,0.0016018909897753202,0.024193521402776242,0.004661428593967444,25.21951122677161,1.8149524960910712
7,0.003458827018039301,0.0017910871359884386,0.02473741238936782,0.00501909286009623,25.038820323733216,1.8867826388880125
8,0.003732640825910494,0.001952221026257144,0.025539869721978904,0.005276554878153386,24.70880055782561,1.8866316851690572
9,0.004007880948483944,0.002169715989876234,0.026288806460797787,0.005618894248268966,24.424368148239136,1.9358709873575404
10,0.004247802239842713,0.0024131894509757407,0.026949501782655715,0.00604727909757327,24.218820120173017,2.042736206358418
11,0.004545604810118675,0.0026506572195464924,0.027743246406316757,0.0064814291605916575,23.94565657098292,2.0816929684718986
12,0.004810789704788476,0.00294401269464739,0.028487284481525422,0.007007217754000266,23.748558520438785,2.174764450274811
13,0.005048035434447229,0.0032472752048579236,0.029146209079772233,0.00763054332444484,23.584241627501786,2.2442675729725527
14,0.00528909619897604,0.0035339474421937044,0.029805580154061317,0.008231211220065952,23.453680649760837,2.4065916061162147
15,0.005527118325699121,0.0037963549728744043,0.03045370178297162,0.00876565571098687,23.288465904255048,2.431945797642487
16,0.005682472384069115,0.004001671771362695,0.03090371871367097,0.009245011749445385,23.218945730944583,2.5250298265531175
17,0.005845490517094732,0.004171259190981395,0.03125547217205167,0.009660693263469845,23.128786541019476,2.5866909713225885
18,0.005999680457171053,0.004341236769641894,0.031679495424032214,0.010129084385517958,23.05173955127882,2.651121850878288
19,0.006153506756527349,0.004489785203852631,0.03205449767410755,0.010552005069790591,22.9863991654437,2.74579305259372
20,0.006328281736932695,0.004630650421470118,0.03249471737071872,0.01093513785201493,22.903513536987703,2.825412861617331
21,0.006519163446500898,0.004731833178605918,0.03296921188011766,0.011218419078370559,22.7842476562708,2.851209996280423
22,0.006631168012972921,0.004873885825162158,0.033277866430580616,0.011513278004133317,22.769402595377592,2.9611681860055907
23,0.006739855906926095,0.004914728221930243,0.03358323331922293,0.01165969948654067,22.715380124869245,3.0056908707788614
24,0.006854309141635895,0.004924560562802039,0.033846554718911646,0.011664663684721662,22.664608603553155,3.079643647101185
25,0.007025356416124851,0.00488520019318594,0.03424022793769836,0.011489529003713592,22.507954360068673,3.007507084296751
26,0.0071378497290425,0.004824555259239998,0.034471108298748734,0.011262893038083309,22.409766546910888,2.9745441763741653
27,0.007155290362425149,0.00479311847287093,0.03451463906094432,0.011198680989022648,22.405518066176935,2.9955354417988906
28,0.007219841645564884,0.004810495364455503,0.03465933548286557,0.01124310542121027,22.37616086020106,3.020968703051979
29,0.0073564502061344685,0.004901686150914769,0.03491941690444946,0.011466436255255561,22.312795384012084,3.0647741575915215
30,0.007411869999486953,0.004970734811334163,0.034970734361559154,0.011637158845553209,22.29472559287145,3.0839506660489713
31,0.007432527921628207,0.00505483456220662,0.03496061759069562,0.011860620550586086,22.3116062283095,3.1313920026887376
32,0.007406250340864062,0.0051597509084257585,0.034909475687891246,0.012140418065486604,22.365210117280757,3.178806072144123
33,0.007505690853577107,0.005216383386259699,0.03512481423094869,0.01224841622041103,22.299352303568035,3.166349502543816
34,0.007624059257796034,0.005356782573262855,0.03540919851511717,0.012571021909002849,22.277638787280367,3.2476180780980264
35,0.007803520723246038,0.005458752820853915,0.03587024128064513,0.012836020349547695,22.182613826724467,3.2655844159204688
36,0.007999261043732987,0.005593242375656239,0.03635941622778773,0.01311709745611518,22.105619178423375,3.328427614393362
37,0.008122188039124012,0.005671290178403232,0.03663880499079823,0.013342477802719821,22.049922977944558,3.345015815145754
38,0.00830132607370615,0.005780426952826735,0.03707919977605343,0.01360548806190137,21.980441280901648,3.4006863890827947
39,0.00843746712198481,0.005821541255503293,0.03740247143432498,0.013744959147999657,21.906692491449178,3.4046063115570164
40,0.008512081927619874,0.0059025568088598365,0.0375664590857923,0.013943661781212398,21.90991344188768,3.4861145890914735
41,0.008585699938703329,0.0059159165724099756,0.037686120625585316,0.013942556789122347,21.862247687995726,3.4726121038102633
42,0.008570055430755018,0.005915447280216112,0.037613500375300646,0.013989536748386794,21.881517396040213,3.4970675491889303
43,0.008485839993227273,0.005870772485556801,0.037364284694194796,0.013874354669685495,21.928510917499793,3.5047532586050747
44,0.008425866533070803,0.005861504345466843,0.037195286620408295,0.01387118169651978,21.963353518841295,3.503186525491968
45,0.008338449732400477,0.0057903528189312305,0.036983394809067247,0.013688626845339717,21.99664433615882,3.4758077832546483
46,0.008235124475322663,0.0057373577240487405,0.0368084910325706,0.013566657990105752,22.055968166564973,3.4777558977628997
47,0.008177464734762907,0.005750418939153917,0.036741456389427184,0.013570783167302005,22.10699909061781,3.5008328998092946
48,0.008198497979901732,0.0057034378938151786,0.0368251028470695,0.013431531531597618,22.0628524205212,3.441633514372828
49,0.00830742585239932,0.005629811698346882,0.037172372546046974,0.013213435989501513,21.941343431349253,3.350135371982106
50,0.008368726761545986,0.0055383790364647075,0.037437927164137366,0.013031639189788578,21.87665384980437,3.32095012493711
51,0.008447705616708845,0.005459601507572685,0.03774568801745772,0.01282373359169238,21.793132048754554,3.2640717257221903
52,0.008576307143084706,0.005372737141556876,0.03809993155300617,0.01267235449441197,21.67821348672021,3.2060435729377303
53,0.008771135832648724,0.005285819800665833,0.03861725386232138,0.012466089127541997,21.513178503775986,3.1089142647011245
54,0.008985621307510882,0.005195193686722844,0.03913542302325368,0.012228852171423806,21.3560742166809,3.053107545094228
55,0.009177317761350423,0.005128137723223818,0.03966273358091712,0.012046638614032167,21.199920830374698,2.9423374447399095
56,0.009383207524660975,0.005159625650874328,0.040186264552176,0.012035945089248625,21.089900160545145,2.9368390194539487
57,0.009656280372291803,0.005224900318161338,0.04079730240628123,0.012072334982595575,20.93253872469813,2.8740402347322864
58,0.009920426330063492,0.005397130203019127,0.04138070195913315,0.012325162649514748,20.818329329890293,2.8818433987055068
59,0.010094052390195429,0.005566959360556277,0.041691111493855716,0.012588260951773197,20.742108431466953,2.8641175515808786
60,0.010287246445659547,0.005710926156220784,0.04202694110572338,0.01286483744637665,20.635475253263493,2.7894497815244583
61,0.010473030246794223,0.00591243595029425,0.04232903607189655,0.013222776488587823,20.55892601379965,2.769048874352077
62,0.010441648215055466,0.006089864928059451,0.042256178334355354,0.013534324976305296,20.594648157112154,2.7786594979825368
63,0.010447369702160359,0.006199175557106589,0.04226522548124194,0.013786568872996582,20.607405967445292,2.7912304188203603
64,0.010441984701901674,0.006321196673929766,0.04235771186649799,0.01409050023500081,20.641946657728827,2.8434923730707142
65,0.01056916929082945,0.006433095438293454,0.04268679078668356,0.014338314360020494,20.594972275632777,2.84570979588499
66,0.010671664169058204,0.0065173618047397516,0.04297642428427935,0.014607235736166038,20.567821002624505,2.8779191176641583
67,0.010789740493055432,0.006664500720076097,0.043306206446141006,0.015020665326298461,20.559333334263105,2.9619010991273247
68,0.011047723714727908,0.0067727964247377885,0.043888408970087764,0.015454251014291346,20.47463016170703,3.0255563694068033
69,0.011352313938550651,0.006850785136089672,0.044571492448449136,0.01569736792333297,20.355173607077027,3.0518716847928093
70,0.01162775260163471,0.006837583858614439,0.04525133613497019,0.015689884883771068,20.221144713772684,3.014567098623449
71,0.011845355096738786,0.006717978593056464,0.0457890042103827,0.0153497072651064,20.08598090610507,2.9242013069754558
72,0.012033263267949224,0.006483320488643638,0.04631984476000071,0.014742161405627825,19.945375780122927,2.8002096450378158
73,0.012176340247970074,0.006264392832629932,0.04671678710728884,0.014222551118341307,19.827514080716778,2.6723172657914382
74,0.012347223784308881,0.006102353577255129,0.047174861654639244,0.013906646305746628,19.702443157085845,2.53124221477567
75,0.012546101515181363,0.0060122032086622375,0.0476752232760191,0.013672724437920326,19.572505640204707,2.3788152901985975
76,0.012896982464008033,0.006102271622458416,0.04841736266389489,0.013799834402798195,19.417981968576917,2.2816154056307103
77,0.01327476256992668,0.006330696894485905,0.049195564817637205,0.014137017305655607,19.268457695673643,2.1950995231954185
78,0.013503389386460184,0.006439328409955897,0.04965807413682342,0.014220035295328465,19.17211837547963,2.125261615801134
79,0.013756096619181335,0.006544068299022141,0.05009486395865679,0.01432893186489722,19.073453703189156,2.071908339888359
80,0.013947423757053911,0.006561760697792016,0.05043591056019068,0.014355602002156173,18.997370593800174,2.032518658827635
