episode_id,seed,policy_type,start_step,step,mse,mae,psnr,real_env_reward,real_vae_reward_pred,world_model_reward_pred,steer,gas,brake,reward_abs_error_true_vae
0,0,evo,438,0,0.003992512356489897,0.027620121836662292,23.987537310825108,,,,-0.04078758507966995,0.07314839959144592,0.0,
0,0,evo,438,1,0.004073596093803644,0.027968622744083405,23.900220344738898,-0.10000000149011612,0.5476831793785095,0.5476831793785095,-0.07555194944143295,0.07963663339614868,0.0,0.6476831808686256
0,0,evo,438,2,0.004477810114622116,0.029156452044844627,23.4893432699645,-0.10000000149011612,0.5729866027832031,0.575599730014801,-0.12039731442928314,0.08526057004928589,0.0,0.6729866042733192
0,0,evo,438,3,0.00539329694584012,0.031471800059080124,22.681456675313242,3.0347962379455566,0.6458790898323059,0.596367359161377,-0.1350831389427185,0.08216443657875061,0.0,2.3889171481132507
0,0,evo,438,4,0.00638279365375638,0.03371119126677513,21.949891954391454,-0.10000000149011612,0.6746364235877991,0.6081050038337708,-0.14311538636684418,0.08247354626655579,0.0,0.7746364250779152
0,0,evo,438,5,0.0073542785830795765,0.036088451743125916,21.334599229030196,-0.10000000149011612,0.6804318428039551,0.6175254583358765,-0.14347951114177704,0.08026230335235596,0.0,0.7804318442940712
0,0,evo,438,6,0.008458093740046024,0.03836773708462715,20.727275059284036,3.0347962379455566,0.6841043829917908,0.6237179040908813,-0.13239319622516632,0.07815662026405334,0.0,2.350691854953766
0,0,evo,438,7,0.009413592517375946,0.04063042625784874,20.262446047637734,-0.10000000149011612,0.6594655513763428,0.6302947998046875,-0.10870128870010376,0.07801270484924316,0.0,0.7594655528664589
0,0,evo,438,8,0.010389946401119232,0.04296300932765007,19.83386692843034,-0.10000000149011612,0.6281877756118774,0.6359174251556396,-0.10050846636295319,0.07982891798019409,0.0,0.7281877771019936
0,0,evo,438,9,0.011483530513942242,0.04527962580323219,19.399245712584406,-0.10000000149011612,0.6140283942222595,0.6416835188865662,-0.09898251295089722,0.07971897721290588,0.0,0.7140283957123756
0,0,evo,438,10,0.01255981158465147,0.04765401408076286,19.01016875595633,3.0347962379455566,0.5621510148048401,0.6504303216934204,-0.0964842438697815,0.07929903268814087,0.0,2.4726452231407166
0,0,evo,438,11,0.013583954423666,0.049854788929224014,18.669737842249432,-0.10000000149011612,0.4733315110206604,0.6620264649391174,-0.08928967267274857,0.07691958546638489,0.0,0.5733315125107765
0,0,evo,438,12,0.01459923479706049,0.05195918679237366,18.356699066897548,-0.10000000149011612,0.4528770446777344,0.6752001643180847,-0.09242303669452667,0.07577046751976013,0.0,0.5528770461678505
0,0,evo,438,13,0.015645304694771767,0.05423910915851593,18.056159744820267,3.0347962379455566,0.5203519463539124,0.6896154880523682,-0.10859332978725433,0.07259014248847961,0.0,2.5144442915916443
0,0,evo,438,14,0.016596421599388123,0.056225743144750595,17.79985541307382,-0.10000000149011612,0.5363503694534302,0.7061662077903748,-0.12425410747528076,0.0692862868309021,0.0,0.6363503709435463
0,0,evo,438,15,0.01760638691484928,0.0582752488553524,17.543297583960392,-0.10000000149011612,0.5724590420722961,0.7238535284996033,-0.1470939666032791,0.06529667973518372,0.0,0.6724590435624123
0,0,evo,438,16,0.018301451578736305,0.060043592005968094,17.37514462857877,-0.10000000149011612,0.5708098411560059,0.7400588393211365,-0.17401303350925446,0.06587675213813782,0.0,0.670809842646122
0,0,evo,438,17,0.018971890211105347,0.06165492162108421,17.218893972422347,-0.10000000149011612,0.5198036432266235,0.7544416785240173,-0.1904878318309784,0.06345447897911072,0.0,0.6198036447167397
0,0,evo,438,18,0.019625602290034294,0.06354964524507523,17.07177006316484,-0.10000000149011612,0.4983663558959961,0.7663094401359558,-0.2055279165506363,0.06320804357528687,0.0,0.5983663573861122
0,0,evo,438,19,0.020138604566454887,0.06500618904829025,16.959706256435897,-0.10000000149011612,0.5214324593544006,0.7749666571617126,-0.21590811014175415,0.0614393949508667,0.0,0.6214324608445168
0,0,evo,438,20,0.020470162853598595,0.06605008989572525,16.88878702225726,-0.10000000149011612,0.5654667615890503,0.7821418642997742,-0.21724870800971985,0.0629081130027771,0.0,0.6654667630791664
0,0,evo,438,21,0.020566213876008987,0.06641518324613571,16.86845652111806,3.0347962379455566,0.541517972946167,0.7883166670799255,-0.22959493100643158,0.06394457817077637,0.0,2.4932782649993896
0,0,evo,438,22,0.020641392096877098,0.06662485748529434,16.852610163663137,3.0347962379455566,0.5780187845230103,0.7948572039604187,-0.24075350165367126,0.06586828827857971,0.0,2.4567774534225464
0,0,evo,438,23,0.02046816237270832,0.06627476215362549,16.88921146454096,-0.10000000149011612,0.5156258344650269,0.8038257956504822,-0.23465925455093384,0.06466320157051086,0.0,0.615625835955143
0,0,evo,438,24,0.020093200728297234,0.06498033553361893,16.96950877193134,3.0347962379455566,0.5198833346366882,0.81429523229599,-0.24546128511428833,0.0648883581161499,0.0,2.5149129033088684
0,0,evo,438,25,0.019720664247870445,0.06344784051179886,17.050784608792753,-0.10000000149011612,0.5010067224502563,0.8263861536979675,-0.2421496957540512,0.06502330303192139,0.0,0.6010067239403725
0,0,evo,438,26,0.01908688433468342,0.06134472414851189,17.192649582845437,3.0347962379455566,0.44117051362991333,0.8421926498413086,-0.22548912465572357,0.0688244104385376,0.0,2.5936257243156433
0,0,evo,438,27,0.0183881763368845,0.059185754507780075,17.354613401529278,-0.10000000149011612,0.29996246099472046,0.8592538833618164,-0.18977676331996918,0.07658267021179199,0.0,0.3999624624848366
0,0,evo,438,28,0.01786956377327442,0.05777962878346443,17.478860492387412,-0.10000000149011612,0.24407261610031128,0.8780076503753662,-0.15426120162010193,0.08886605501174927,0.0,0.3440726175904274
0,0,evo,438,29,0.017780445516109467,0.05762675777077675,17.500573613205923,3.0347962379455566,0.24327176809310913,0.8991219997406006,-0.11294989287853241,0.09974938631057739,0.0,2.7915244698524475
0,0,evo,438,30,0.017491478472948074,0.05713401362299919,17.571734800864647,-0.10000000149011612,0.2600480914115906,0.9244215488433838,-0.08176998049020767,0.11409226059913635,0.0,0.3600480929017067
0,0,evo,438,31,0.01738627254962921,0.05722688138484955,17.59793516596713,-0.10000000149011612,0.38179200887680054,0.9535487294197083,-0.0913407951593399,0.12516853213310242,0.0,0.48179201036691666
