rollout_id,source_file,source_t,horizon,discounted_return,undiscounted_return,mean_reward,max_reward,min_reward,steer_mean,gas_mean,brake_mean,steer_abs_gt_09_frac,gas_gt_095_frac,brake_lt_005_frac
0,data/latent/train/1781996110973_random_00001.npz,637,300,43.00090408325195,120.03465270996094,0.4001155197620392,1.574216365814209,-0.10855889320373535,0.0788884311914444,0.9999998807907104,3.665685710529942e-08,0.06333333253860474,1.0,1.0
1,data/latent/train/1781995855626_heuristic_00029.npz,270,300,28.116287231445312,90.27589416503906,0.30091968178749084,1.0301856994628906,-0.05262637510895729,0.2010243982076645,0.9999969601631165,5.668401854563854e-07,0.05666666850447655,1.0,1.0
2,data/latent/train/1781995624027_heuristic_00004.npz,41,300,57.605445861816406,125.52571105957031,0.4184190034866333,1.1601006984710693,-0.045569900423288345,0.06408688426017761,0.9999998807907104,4.7783057510741855e-08,0.03333333507180214,1.0,1.0
3,data/latent/train/1781975583574_heuristic_00004.npz,17,300,60.473785400390625,139.4024200439453,0.4646747410297394,1.1499574184417725,-0.036893729120492935,0.08896903693675995,1.0,4.3511391822903533e-08,0.036666665226221085,1.0,1.0
4,data/latent/train/1781975694262_heuristic_00016.npz,813,300,19.25410270690918,70.86344909667969,0.23621152341365814,1.0591204166412354,-0.11914372444152832,0.1761959195137024,0.9999332427978516,4.013379495404479e-08,0.1433333307504654,1.0,1.0
5,data/latent/train/1781996010272_heuristic_00046.npz,912,300,29.960525512695312,100.56668090820312,0.3352222442626953,1.0364887714385986,-0.10029363632202148,0.11129499971866608,0.9999998211860657,6.973743182925318e-08,0.05666666850447655,1.0,1.0
6,data/latent/train/1781995845712_heuristic_00028.npz,607,300,16.50467300415039,79.36236572265625,0.2645412087440491,1.1360690593719482,-0.08890271186828613,0.10449513047933578,0.9999991655349731,7.36117371502587e-08,0.07000000029802322,1.0,1.0
7,data/latent/train/1781996238438_random_00016.npz,729,300,42.75360107421875,113.87648010253906,0.3795882761478424,0.9355964660644531,-0.11682653427124023,0.10360518097877502,0.9999998211860657,2.174576110292037e-07,0.009999999776482582,1.0,1.0
8,data/latent/train/1781995991387_heuristic_00044.npz,544,300,6.924201965332031,121.25756072998047,0.40419188141822815,2.0058114528656006,-0.11403512954711914,0.07653448730707169,0.999985933303833,3.6060811225979705e-08,0.10333333164453506,1.0,1.0
9,data/latent/train/1781995911953_heuristic_00035.npz,935,300,14.102537155151367,75.77803039550781,0.25259342789649963,1.0875096321105957,-0.07971835136413574,0.13328634202480316,0.9999919533729553,1.45932034456564e-07,0.023333333432674408,1.0,1.0
10,data/latent/train/1781995586132_heuristic_00000.npz,816,300,-9.152090072631836,-14.167673110961914,-0.04722557216882706,0.669621467590332,-0.11677348613739014,-0.004846356809139252,0.9999983906745911,1.312792278440611e-06,0.03333333507180214,1.0,1.0
11,data/latent/train/1781996037878_heuristic_00049.npz,3,300,73.5352554321289,260.1332092285156,0.8671107888221741,3.455350399017334,-0.11608994007110596,0.12879666686058044,0.9999427199363708,5.005796879231639e-07,0.06333333253860474,1.0,1.0
12,data/latent/train/1781995715968_heuristic_00014.npz,857,300,49.5483283996582,138.4925994873047,0.4616420567035675,1.0507562160491943,-0.07026231288909912,0.17327311635017395,0.9999467730522156,3.467003395485335e-08,0.15000000596046448,1.0,1.0
13,data/latent/train/1781995902344_heuristic_00034.npz,34,300,98.16747283935547,230.88250732421875,0.7696082592010498,1.791029691696167,-0.1082085371017456,-0.10767204314470291,1.0,3.556410632654661e-08,0.1066666692495346,1.0,1.0
14,data/latent/train/1781996070175_forward_00010.npz,133,300,48.17838668823242,126.30583953857422,0.42101937532424927,1.0958621501922607,-0.0679553747177124,0.06976260244846344,1.0,2.0265579436795633e-08,0.06333333253860474,1.0,1.0
15,data/latent/train/1781996102422_random_00000.npz,176,300,26.931119918823242,70.4598388671875,0.23486612737178802,0.8376479148864746,-0.08686172962188721,0.11206081509590149,0.9999998807907104,2.9206276508375595e-08,0.036666665226221085,1.0,1.0
16,data/latent/train/1781975601594_heuristic_00006.npz,863,300,-1.5841045379638672,-18.888723373413086,-0.06296240538358688,0.34149372577667236,-0.11862719058990479,0.23063334822654724,0.9987916350364685,4.914184319204651e-05,0.01666666753590107,1.0,1.0
17,data/latent/train/1781972413766_00002.npz,541,300,42.3630256652832,111.11238098144531,0.3703745901584625,1.408761978149414,-0.10619628429412842,0.029192205518484116,1.0,7.619460262731081e-08,0.046666666865348816,1.0,1.0
18,data/latent/train/1781975583574_heuristic_00004.npz,300,300,15.202118873596191,123.5710220336914,0.411903440952301,1.2032792568206787,-0.11778724193572998,0.035939838737249374,1.0,8.543332263855064e-09,0.03999999910593033,1.0,1.0
19,data/latent/train/1781995818312_heuristic_00025.npz,423,300,29.242265701293945,147.08135986328125,0.4902711510658264,2.6584227085113525,-0.10845696926116943,0.016544152051210403,0.9999487400054932,5.106131339971398e-08,0.10333333164453506,1.0,1.0
20,data/latent/train/1781995734609_heuristic_00016.npz,29,300,49.68659973144531,114.67218017578125,0.3822406530380249,0.9678419232368469,-0.04411185160279274,0.06030509993433952,1.0,6.635983851310812e-08,0.046666666865348816,1.0,1.0
21,data/latent/train/1781972395073_00000.npz,125,300,47.925941467285156,107.00839233398438,0.3566945791244507,1.4197092056274414,-0.11691737174987793,0.1042712926864624,0.9999998211860657,1.6699235061423678e-07,0.02666666731238365,1.0,1.0
22,data/latent/train/1781972404588_00001.npz,670,300,24.87131118774414,66.06690979003906,0.22022303938865662,0.889350175857544,-0.09297418594360352,0.08241122215986252,0.9999998807907104,1.867612198225288e-08,0.04333333298563957,1.0,1.0
23,data/latent/train/1781995874538_heuristic_00031.npz,647,300,52.4752082824707,127.75141143798828,0.42583802342414856,1.2315902709960938,-0.10724318027496338,0.11896593868732452,0.9999998211860657,1.99079508433897e-07,0.07999999821186066,1.0,1.0
24,data/latent/train/1781975785803_heuristic_00026.npz,615,300,26.47642707824707,87.86103057861328,0.29287007451057434,1.0526454448699951,-0.10458850860595703,0.09596891701221466,0.9999998211860657,6.899237519064627e-07,0.0833333358168602,1.0,1.0
25,data/latent/train/1781996070175_forward_00010.npz,70,300,42.92195129394531,112.56929016113281,0.37523090839385986,1.3425710201263428,-0.11243212223052979,0.12305601686239243,0.9999998807907104,6.506840577458206e-08,0.03333333507180214,1.0,1.0
26,data/latent/train/1781995799509_heuristic_00023.npz,997,300,14.328096389770508,83.6075668334961,0.2786918878555298,1.1679680347442627,-0.11414670944213867,0.07048230618238449,0.9999997019767761,1.7682710407029845e-08,0.0833333358168602,1.0,1.0
27,data/latent/train/1781996081424_forward_00015.npz,334,300,3.93196964263916,61.41799545288086,0.20472665131092072,1.5989832878112793,-0.1190258264541626,0.34577676653862,0.9999935626983643,5.195538221869356e-08,0.2933333218097687,1.0,1.0
28,data/latent/train/1781995707003_heuristic_00013.npz,685,300,-5.599666595458984,16.133298873901367,0.05377765744924545,1.3345890045166016,-0.11890685558319092,0.33616307377815247,0.9999984502792358,3.256400304962881e-07,0.17666666209697723,1.0,1.0
29,data/latent/train/1781996213057_random_00013.npz,650,300,31.706615447998047,83.48443603515625,0.27828145027160645,0.9490812420845032,-0.10035145282745361,0.05512522533535957,0.9999998807907104,1.639127766850379e-08,0.07333333045244217,1.0,1.0
