seq_id,value_start,value_actor_final,steer,gas,brake,value_dataset_like_final,delta_actor,delta_dataset_like
0,61.13631820678711,73.19506072998047,0.9548952579498291,0.9999990463256836,0.0,79.36288452148438,12.05874252319336,18.226566314697266
1,42.82272720336914,45.45985794067383,-0.998989999294281,0.9975666999816895,0.00016260147094726562,43.0860595703125,2.6371307373046875,0.2633323669433594
2,77.09476470947266,81.93476104736328,0.24909339845180511,0.9999992847442627,0.0,75.64397430419922,4.839996337890625,-1.4507904052734375
3,63.3486328125,73.22268676757812,0.7788758873939514,0.9999985694885254,0.0,59.98563003540039,9.874053955078125,-3.3630027770996094
4,83.35115814208984,82.5162582397461,0.9111135601997375,0.9999977946281433,0.0,67.68036651611328,-0.83489990234375,-15.670791625976562
5,44.988555908203125,44.85881423950195,0.3690916895866394,0.9997766613960266,8.344650268554688e-07,43.25752639770508,-0.12974166870117188,-1.7310295104980469
6,60.60718536376953,73.30933380126953,0.9999997615814209,0.9999990463256836,0.0,57.17604446411133,12.7021484375,-3.431140899658203
7,71.37348937988281,82.2677230834961,0.4659143090248108,0.9999988079071045,0.0,72.04380798339844,10.894233703613281,0.670318603515625
8,33.7347297668457,26.092586517333984,-0.7051613926887512,0.9999765157699585,2.9802322387695312e-08,32.62419509887695,-7.642143249511719,-1.11053466796875
9,22.828956604003906,38.49000549316406,0.9128323197364807,0.9999932050704956,0.0,38.846981048583984,15.661048889160156,16.018024444580078
10,50.818748474121094,71.48450469970703,0.9999995231628418,0.9999953508377075,0.0,73.92322540283203,20.665756225585938,23.104476928710938
11,42.100772857666016,63.759273529052734,1.0,0.9996087551116943,2.086162567138672e-07,59.77070999145508,21.65850067138672,17.669937133789062
12,30.101642608642578,40.24197769165039,-0.9904415607452393,0.9999441504478455,1.7881393432617188e-07,27.71560287475586,10.140335083007812,-2.3860397338867188
13,83.97838592529297,85.35880279541016,0.30099013447761536,0.9999986290931702,0.0,85.98703002929688,1.3804168701171875,2.0086441040039062
14,37.655120849609375,51.47660446166992,0.9936825633049011,0.9999945759773254,0.0,26.18050193786621,13.821483612060547,-11.474618911743164
15,26.176132202148438,20.33690643310547,0.7848237156867981,0.999998152256012,0.0,21.55018424987793,-5.839225769042969,-4.625947952270508
16,51.510921478271484,59.451290130615234,-0.06918427348136902,0.9999926090240479,0.0,55.58858108520508,7.94036865234375,4.077659606933594
17,44.62815475463867,64.2469711303711,1.0,0.9994722008705139,1.1920928955078125e-07,70.08824157714844,19.618816375732422,25.460086822509766
18,58.00132751464844,69.43201446533203,0.4082314074039459,0.9999969005584717,0.0,63.371307373046875,11.430686950683594,5.3699798583984375
19,50.11797332763672,54.40497589111328,0.10792162269353867,0.9999845623970032,0.0,57.28029251098633,4.2870025634765625,7.162319183349609
20,85.86445617675781,91.31049346923828,-0.061342548578977585,0.9999985694885254,0.0,94.1956558227539,5.446037292480469,8.331199645996094
21,75.96348571777344,72.82312774658203,0.3347151279449463,0.9999964237213135,0.0,68.28225708007812,-3.1403579711914062,-7.6812286376953125
22,62.67243576049805,63.6863899230957,0.2531360983848572,0.9999997615814209,0.0,56.05636978149414,1.0139541625976562,-6.616065979003906
23,55.43002700805664,50.56218338012695,-0.35862231254577637,0.9999982118606567,0.0,46.35585021972656,-4.8678436279296875,-9.074176788330078
24,38.83571243286133,45.35282516479492,0.6302274465560913,0.9999995827674866,0.0,31.703723907470703,6.517112731933594,-7.131988525390625
25,45.43551254272461,53.9540901184082,0.9999999403953552,0.9999911189079285,0.0,20.344390869140625,8.518577575683594,-25.091121673583984
26,20.680614471435547,29.52171516418457,-0.4726093113422394,0.9999996423721313,0.0,20.274953842163086,8.841100692749023,-0.40566062927246094
27,63.19538497924805,66.79361724853516,0.026798266917467117,0.9999984502792358,0.0,64.6893081665039,3.5982322692871094,1.4939231872558594
28,72.20117950439453,68.87201690673828,0.12471480667591095,0.999998927116394,0.0,64.91057586669922,-3.32916259765625,-7.2906036376953125
29,42.988162994384766,44.84906005859375,0.9993799924850464,0.999992311000824,0.0,53.43118667602539,1.8608970642089844,10.443023681640625
30,53.8640251159668,59.586421966552734,0.3797608017921448,0.9999997615814209,0.0,51.90717697143555,5.7223968505859375,-1.95684814453125
