seq_id,mode,t,value,steer,gas,brake,source_file,source_t
1,dataset_like_rollout,4,38.5118522644043,0.7988372445106506,0.25,0.05000000074505806,data/latent/train/1781995688182_heuristic_00011.npz,270
1,actor_rollout,5,41.35906219482422,-1.0,0.999910831451416,2.5331974029541016e-06,data/latent/train/1781995688182_heuristic_00011.npz,270
1,dataset_like_rollout,5,38.181880950927734,-0.6667846441268921,0.3499999940395355,0.0,data/latent/train/1781995688182_heuristic_00011.npz,270
1,actor_rollout,6,41.64645004272461,-0.9999998211860657,0.999840497970581,5.21540641784668e-06,data/latent/train/1781995688182_heuristic_00011.npz,270
1,dataset_like_rollout,6,37.54603576660156,-0.006002185400575399,0.6499999761581421,0.0,data/latent/train/1781995688182_heuristic_00011.npz,270
1,actor_rollout,7,42.143280029296875,-0.9999990463256836,0.999729335308075,1.0132789611816406e-05,data/latent/train/1781995688182_heuristic_00011.npz,270
1,dataset_like_rollout,7,37.45695877075195,0.7199236154556274,0.25,0.05000000074505806,data/latent/train/1781995688182_heuristic_00011.npz,270
1,actor_rollout,8,42.67067337036133,-0.999995768070221,0.9995644688606262,1.8417835235595703e-05,data/latent/train/1781995688182_heuristic_00011.npz,270
1,dataset_like_rollout,8,38.16421890258789,0.11898612976074219,0.6499999761581421,0.0,data/latent/train/1781995688182_heuristic_00011.npz,270
1,actor_rollout,9,43.18215560913086,-0.9999839067459106,0.9993458986282349,3.0547380447387695e-05,data/latent/train/1781995688182_heuristic_00011.npz,270
1,dataset_like_rollout,9,38.110191345214844,-0.8706814646720886,0.3499999940395355,0.05000000074505806,data/latent/train/1781995688182_heuristic_00011.npz,270
1,actor_rollout,10,43.62356185913086,-0.9999502897262573,0.9990796446800232,4.6700239181518555e-05,data/latent/train/1781995688182_heuristic_00011.npz,270
1,dataset_like_rollout,10,38.510841369628906,0.0336022675037384,0.25,0.05000000074505806,data/latent/train/1781995688182_heuristic_00011.npz,270
1,actor_rollout,11,44.02529525756836,-0.9998756647109985,0.9987830519676208,6.625056266784668e-05,data/latent/train/1781995688182_heuristic_00011.npz,270
1,dataset_like_rollout,11,39.10725021362305,0.5629254579544067,0.7593590617179871,0.056266024708747864,data/latent/train/1781995688182_heuristic_00011.npz,270
1,actor_rollout,12,44.38768768310547,-0.9997429251670837,0.998469352722168,8.863210678100586e-05,data/latent/train/1781995688182_heuristic_00011.npz,270
1,dataset_like_rollout,12,39.429439544677734,0.8393822312355042,0.3499999940395355,0.05000000074505806,data/latent/train/1781995688182_heuristic_00011.npz,270
1,actor_rollout,13,44.742549896240234,-0.9995455145835876,0.998155951499939,0.00011271238327026367,data/latent/train/1781995688182_heuristic_00011.npz,270
