seq_id,t,reward,discount,value,next_value,lambda_return,reward_component,value_component,steer,gas,brake
0,0,-0.1152493953704834,0.9900000095367432,61.13631820678711,69.07413482666016,65.74063873291016,0.011002987623214722,65.72964477539062,-1.0,0.9999517202377319,4.76837158203125e-06
0,1,-0.10928380489349365,0.9900000095367432,69.07413482666016,72.40760040283203,66.38672637939453,0.13423964381217957,66.25249481201172,-1.0,0.9999901056289673,1.4901161193847656e-06
0,2,-0.09681916236877441,0.9900000095367432,72.40760040283203,74.48302459716797,66.89190673828125,0.2589297592639923,66.63298797607422,-1.0,0.9984820485115051,6.645917892456055e-06
0,3,-0.07216107845306396,0.9900000095367432,74.48302459716797,75.3382339477539,67.30655670166016,0.37825509905815125,66.92831420898438,-1.0,0.9999431371688843,3.394484519958496e-05
0,4,-0.033048395067453384,0.9900000095367432,75.3382339477539,75.29703521728516,67.67620849609375,0.4789113998413086,67.19731140136719,-0.9999980926513672,0.999983549118042,1.3649463653564453e-05
0,5,0.01174449548125267,0.9900000095367432,75.29703521728516,74.14603424072266,68.02982330322266,0.5443485379219055,67.48548889160156,-0.9587044715881348,0.9998896718025208,1.3232231140136719e-05
0,6,0.002116438001394272,0.9900000095367432,74.14603424072266,71.8057632446289,68.41876983642578,0.5662988424301147,67.85248565673828,0.9980208873748779,0.9998428225517273,2.384185791015625e-06
0,7,-0.02557087317109108,0.9900000095367432,71.8057632446289,70.29754638671875,68.96573638916016,0.5998749732971191,68.36587524414062,1.0,0.997545063495636,2.980232238769531e-07
0,8,-0.01136041060090065,0.9900000095367432,70.29754638671875,69.69049835205078,69.6561279296875,0.6650141477584839,68.99111938476562,1.0,0.9990758299827576,2.682209014892578e-07
0,9,0.013417240232229233,0.9900000095367432,69.69049835205078,69.71183013916016,70.40702819824219,0.7191648483276367,69.68785858154297,1.0,0.9997016191482544,2.9802322387695312e-08
0,10,0.06257808208465576,0.9900000095367432,69.71183013916016,70.1295394897461,71.17796325683594,0.750396192073822,70.42756652832031,1.0,0.9988803267478943,0.0
0,11,0.12397348880767822,0.9900000095367432,70.1295394897461,71.11888885498047,71.92341613769531,0.7313323616981506,71.19208526611328,1.0,0.9999393820762634,2.9802322387695312e-08
0,12,0.18290925025939941,0.9900000095367432,71.11888885498047,72.16829681396484,72.59867858886719,0.6457829475402832,71.95289611816406,0.9999999403953552,0.9999549388885498,0.0
0,13,0.23209357261657715,0.9900000095367432,72.16829681396484,73.19689178466797,73.19876861572266,0.49215707182884216,72.70661163330078,0.9999122023582458,0.9999998807907104,0.0
0,14,0.2765161991119385,0.9900000095367432,73.19689178466797,74.19583129882812,73.73039245605469,0.2765161991119385,73.45387268066406,0.9553015828132629,0.9999955296516418,0.0
1,0,-0.1188584566116333,0.9900000095367432,42.82272720336914,41.17141342163086,38.509368896484375,-1.1573617458343506,39.66674041748047,-1.0,0.9999964237213135,2.384185791015625e-07
