step,actor_loss,mc_return,reward_sum,mean_reward,entropy,steer,gas,brake
3900,-2.0047,2.0033,3.153,0.2102,1.3159,-0.01,0.454,0.005
3950,-1.4907,1.4893,2.5178,0.1679,1.3721,0.102,0.318,0.0
4000,-2.0607,2.0594,3.4791,0.2319,1.2967,-0.033,0.368,0.0
4050,-1.8943,1.8924,3.1956,0.213,1.8234,0.248,0.269,0.0
4100,-1.648,1.6459,2.858,0.1905,2.0217,0.421,0.228,0.0
4150,-3.0138,3.0118,5.1382,0.3425,1.9413,0.223,0.299,0.0
4200,-2.2705,2.2687,3.8031,0.2535,1.8427,0.093,0.344,0.0
4250,-1.5453,1.5433,2.501,0.1667,1.9647,0.153,0.31,0.0
4300,-1.8387,1.8369,2.9192,0.1946,1.7848,0.134,0.33,0.0
4350,-1.6878,1.6861,2.5706,0.1714,1.6494,-0.078,0.4,0.0
4400,-1.2022,1.2003,1.8415,0.1228,1.848,0.098,0.346,0.0
4450,-2.3576,2.356,4.0468,0.2698,1.6537,-0.19,0.409,0.0
4500,-2.1271,2.1253,3.4399,0.2293,1.7864,-0.146,0.408,0.0
4550,-2.5037,2.5017,4.1571,0.2771,2.0815,0.136,0.271,0.0
4600,-1.8207,1.8187,2.9951,0.1997,1.9659,0.158,0.309,0.0
