file,episode,steps,return,mean_reward,min_reward,max_reward,steer_mean,gas_mean,brake_mean,steer_abs_gt_09_frac,gas_gt_095_frac,brake_lt_005_frac
dreamer_episode_00000,0,1000,-27.899703979492188,-0.02789970487356186,-0.10000000149011612,6.169592380523682,-0.3447601795196533,0.9890615344047546,0.0,0.647,0.988,1.0
dreamer_episode_00001,1,1000,19.999984741210938,0.01999998465180397,-0.10000000149011612,7.172727108001709,0.3183119595050812,0.9903473854064941,0.0,0.884,0.99,1.0
dreamer_episode_00002,2,1000,52.238800048828125,0.05223879963159561,-0.10000000149011612,5.8701491355896,0.02897888980805874,0.9901280403137207,0.0,0.837,0.989,1.0
dreamer_episode_00003,3,1000,7.01104736328125,0.007011047564446926,-0.10000000149011612,7.280073642730713,0.539625883102417,0.9897621273994446,0.0,0.951,0.989,1.0
dreamer_episode_00004,4,1000,125.45454406738281,0.12545454502105713,-0.10000000149011612,7.172727108001709,-0.0667601078748703,0.9893507361412048,0.0,0.813,0.989,1.0
dreamer_episode_00005,5,1000,-33.130714416503906,-0.0331307128071785,-0.10000000149011612,5.979027271270752,-0.35725870728492737,0.9894458055496216,0.0,0.736,0.989,1.0
dreamer_episode_00006,6,1000,69.01408386230469,0.06901408731937408,-0.10000000149011612,6.942253589630127,0.3836493194103241,0.9986172914505005,0.0002743867225944996,0.879,0.998,0.999
dreamer_episode_00007,7,1000,66.14418029785156,0.0661441832780838,-0.10000000149011612,6.169592380523682,-0.24050405621528625,0.9895599484443665,0.0,0.774,0.989,1.0
dreamer_episode_00008,8,1000,19.521896362304688,0.019521895796060562,-0.10000000149011612,7.868127346038818,-0.11742551624774933,0.9983249306678772,0.000511355756316334,0.903,0.998,0.999
dreamer_episode_00009,9,1000,15.789451599121094,0.015789451077580452,-0.10000000149011612,6.917543888092041,0.3412656784057617,0.9903176426887512,0.0,0.883,0.99,1.0
dreamer_episode_00010,10,1000,-13.62127685546875,-0.013621277175843716,-0.10000000149011612,9.866777420043945,0.7384999990463257,0.9898754954338074,0.0,0.953,0.989,1.0
dreamer_episode_00011,11,1000,38.99614334106445,0.038996145129203796,-0.10000000149011612,7.622007846832275,0.0010128755820915103,0.9984590411186218,0.00050310482038185,0.823,0.998,0.999
dreamer_episode_00012,12,1000,5.6105499267578125,0.005610549822449684,-0.10000000149011612,6.500659942626953,0.557645857334137,0.9896535277366638,0.0,0.935,0.989,1.0
dreamer_episode_00013,13,1000,20.996421813964844,0.020996421575546265,-0.10000000149011612,7.017437934875488,0.20994427800178528,0.9895204901695251,0.0,0.903,0.989,1.0
dreamer_episode_00014,14,1000,11.864387512207031,0.011864387430250645,-0.10000000149011612,6.679660797119141,0.1547340601682663,0.9906048774719238,0.0,0.914,0.99,1.0
dreamer_episode_00015,15,1000,11.475387573242188,0.011475387960672379,-0.10000000149011612,6.457376956939697,0.1997438371181488,0.9894967079162598,0.0,0.925,0.989,1.0
dreamer_episode_00016,16,1000,20.274887084960938,0.02027488686144352,-0.10000000149011612,6.772852420806885,0.26386749744415283,0.9988448023796082,0.0,0.894,0.998,1.0
dreamer_episode_00017,17,1000,-26.910320281982422,-0.026910319924354553,-0.10000000149011612,6.54451847076416,-0.3605591952800751,0.9893876910209656,0.0,0.729,0.989,1.0
dreamer_episode_00018,18,1000,-23.32270050048828,-0.02332269959151745,-0.10000000149011612,6.28977632522583,-0.3526664972305298,0.9894657135009766,0.0,0.648,0.988,1.0
dreamer_episode_00019,19,1000,-2.8571624755859375,-0.002857162384316325,-0.10000000149011612,8.471428871154785,0.21428607404232025,0.9891210198402405,0.0,0.928,0.989,1.0
