t,steer_dataset,gas_dataset,brake_dataset,steer_actor,gas_actor,brake_actor
84,-0.5669671,0.35,0.05,0.18960401,0.99999994,0.0
85,-0.5235642,0.35,0.05,0.4410687,0.99999994,0.0
86,-0.6621352,0.35,0.0,0.5639038,1.0,0.0
87,-0.6536769,0.35,0.05,0.4683088,1.0,0.0
88,-0.61314636,0.35,0.05,0.24169594,1.0,0.0
89,-0.58175665,0.35,0.05,0.12845637,1.0,0.0
90,-0.7304715,0.35,0.05,0.20961471,1.0,0.0
91,0.40079847,0.32251376,0.27718946,0.4189129,1.0,0.0
92,-1.0,0.35,0.05,0.5555421,1.0,0.0
93,-1.0,0.35,0.05,0.49903074,1.0,0.0
94,-1.0,0.35,0.05,0.25982687,1.0,0.0
95,-1.0,0.35,0.05,-0.041760087,1.0,0.0
96,0.8737434,0.5643318,0.08199761,-0.31879976,1.0,0.0
97,-0.9691503,0.35,0.05,-0.4752922,1.0,0.0
98,-1.0,0.35,0.05,-0.5571405,1.0,0.0
99,-0.9996848,0.35,0.05,-0.6020324,1.0,0.0
