source,steer_abs_gt_0_9,gas_lt_0_05,gas_gt_0_95,brake_lt_0_05,brake_gt_0_5,brake_gt_0_95
dataset,0.17427485144526136,0.012564205861617484,0.01329439017020848,0.44455635008560784,0.11479000906435693,0.01149410816799275
actor,0.89733,0.0,0.99448,1.0,0.0,0.0
