source,dimension,mean,std,min,p01,p05,p25,p50,p75,p95,p99,max
dataset,steer,-0.00763205299153924,0.5897275805473328,-1.0,-1.0,-0.9715580374002457,-0.4602637514472008,-0.011876814067363739,0.4471573233604431,0.9759056240320205,1.0,1.0
dataset,gas,0.46699023246765137,0.19877488911151886,5.328708539309446e-06,0.03990983471274376,0.19212584048509598,0.3499999940395355,0.3499999940395355,0.6499999761581421,0.8117141783237455,0.9619650399684908,0.9999977350234985
dataset,brake,0.13518156111240387,0.24502266943454742,0.0,0.0,0.0,0.0,0.05000000074505806,0.05000000074505806,0.7846280097961424,0.9561498904228212,0.9999848008155823
actor,steer,-0.19814935326576233,0.9440314769744873,-1.0,-1.0,-1.0,-1.0,-0.9935151636600494,0.999918058514595,1.0,1.0,1.0
actor,gas,0.997710645198822,0.02514525130391121,0.29152998328208923,0.9736934506893158,0.9960464626550675,0.9998175352811813,0.9999922513961792,0.9999995231628418,1.0,1.0,1.0
actor,brake,2.9974040444358252e-05,0.0004289813223294914,0.0,0.0,0.0,0.0,0.0,3.2782554626464844e-07,1.913309097290039e-05,0.0001894262433052049,0.045309484004974365
